date_sold,year_sold,price,bedrooms,year_quarter,MA,normalized_price
2008-05-05,2008,575000,2,2008_Q2,441854.0,1.6428571428571428
2008-05-05,2008,690000,3,2008_Q2,419628.0,1.7468354430379747
2008-05-09,2008,465000,3,2008_Q2,419628.0,1.1772151898734178
2008-05-12,2008,635000,5,2008_Q2,735904.0,0.98145285935085
2008-05-13,2008,307000,2,2008_Q2,441854.0,0.8771428571428571
2008-05-14,2008,450000,3,2008_Q2,419628.0,1.139240506329114
2008-05-16,2008,442000,3,2008_Q2,419628.0,1.1189873417721519
2008-05-16,2008,490000,3,2008_Q2,419628.0,1.240506329113924
2008-05-17,2008,865000,5,2008_Q2,735904.0,1.3369397217928902
2008-05-19,2008,430000,4,2008_Q2,559580.0,0.8431372549019608
2008-05-23,2008,444000,3,2008_Q2,419628.0,1.1240506329113924
2008-05-27,2008,535000,3,2008_Q2,419628.0,1.3544303797468353
2008-05-28,2008,542000,4,2008_Q2,559580.0,1.0627450980392157
2008-05-30,2008,357000,3,2008_Q2,419628.0,0.9037974683544304
2008-06-02,2008,429000,3,2008_Q2,419628.0,1.0860759493670886
2008-06-02,2008,1180000,4,2008_Q2,559580.0,2.3137254901960786
2008-06-03,2008,375000,4,2008_Q2,559580.0,0.7352941176470589
2008-06-06,2008,526000,3,2008_Q2,419628.0,1.3316455696202532
2008-06-06,2008,760000,3,2008_Q2,419628.0,1.9240506329113924
2008-06-10,2008,447250,3,2008_Q2,419628.0,1.1322784810126583
2008-06-10,2008,492500,3,2008_Q2,419628.0,1.2468354430379747
2008-06-10,2008,727500,4,2008_Q2,559580.0,1.4264705882352942
2008-06-11,2008,360100,4,2008_Q2,559580.0,0.706078431372549
2008-06-11,2008,750000,3,2008_Q2,419628.0,1.8987341772151898
2008-06-13,2008,365000,3,2008_Q2,419628.0,0.9240506329113924
2008-06-13,2008,670000,4,2008_Q2,559580.0,1.3137254901960784
2008-06-14,2008,419000,4,2008_Q2,559580.0,0.8215686274509804
2008-06-14,2008,515000,3,2008_Q2,419628.0,1.3037974683544304
2008-06-17,2008,340000,3,2008_Q2,419628.0,0.8607594936708861
2008-06-17,2008,600000,4,2008_Q2,559580.0,1.1764705882352942
2008-06-18,2008,362000,4,2008_Q2,559580.0,0.7098039215686275
2008-06-19,2008,765000,5,2008_Q2,735904.0,1.1823802163833075
2008-06-19,2008,770000,4,2008_Q2,559580.0,1.5098039215686274
2008-06-20,2008,469000,4,2008_Q2,559580.0,0.9196078431372549
2008-06-23,2008,367000,3,2008_Q2,419628.0,0.9291139240506329
2008-06-24,2008,465000,4,2008_Q2,559580.0,0.9117647058823529
2008-06-25,2008,375000,3,2008_Q2,419628.0,0.9493670886075949
2008-06-25,2008,505000,4,2008_Q2,559580.0,0.9901960784313726
2008-06-25,2008,605000,3,2008_Q2,419628.0,1.5316455696202531
2008-06-26,2008,325000,3,2008_Q2,419628.0,0.8227848101265823
2008-06-27,2008,421000,3,2008_Q2,419628.0,1.0658227848101265
2008-06-27,2008,550000,4,2008_Q2,559580.0,1.0784313725490196
2008-06-27,2008,590000,4,2008_Q2,559580.0,1.1568627450980393
2008-06-29,2008,522500,4,2008_Q2,559580.0,1.0245098039215685
2008-06-30,2008,480000,2,2008_Q2,441854.0,1.3714285714285714
2008-06-30,2008,1165000,5,2008_Q2,735904.0,1.8006182380216382
2008-07-01,2008,670000,4,2008_Q3,561852.0,1.3137254901960784
2008-07-04,2008,375000,3,2008_Q3,423811.0,0.9493670886075949
2008-07-07,2008,392500,4,2008_Q3,561852.0,0.7696078431372549
2008-07-07,2008,445000,4,2008_Q3,561852.0,0.8725490196078431
2008-07-08,2008,383000,3,2008_Q3,423811.0,0.9696202531645569
2008-07-10,2008,418000,3,2008_Q3,423811.0,1.058227848101266
2008-07-10,2008,860000,2,2008_Q3,451583.0,2.4571428571428573
2008-07-11,2008,418000,3,2008_Q3,423811.0,1.058227848101266
